Year,Month,Day ,Hour,Irridiance,Temp
2016,3,1,6,15.95,20.54
2016,3,1,7,154.23,22.39
2016,3,1,8,361.21,25.3
2016,3,1,9,562.18,29.39
2016,3,1,10,734.61,31.38
2016,3,1,11,782.33,32.39
2016,3,1,12,763.43,32.97
2016,3,1,13,672.84,33.15
2016,3,1,14,552.23,32.94
2016,3,1,15,408.12,32.25
2016,3,1,16,221.47,30.81
2016,3,1,17,43.37,26.91
2016,3,1,18,0,25.13
2016,3,1,19,0,24.48
2016,3,1,20,0,23.8
2016,3,1,21,0,23.27
2016,3,1,22,0,22.73
2016,3,1,23,0,22.28
2016,3,2,0,0,21.97
2016,3,2,1,0,21.64
2016,3,2,2,0,21.58
2016,3,2,3,0,21.14
2016,3,2,4,0,20.69
2016,3,2,5,0,20.12
2016,3,2,6,16.7,19.88
2016,3,2,7,125.68,22.15
2016,3,2,8,302.78,25.25
2016,3,2,9,482.84,29.87
2016,3,2,10,636.3,31.71
2016,3,2,11,633.94,32.69
2016,3,2,12,641.95,33.22
2016,3,2,13,588.7,33.39
2016,3,2,14,435.2,33.19
2016,3,2,15,315.8,32.4
2016,3,2,16,164.37,31
2016,3,2,17,37.2,27.76
2016,3,2,18,0,26.27
2016,3,2,19,0,25.59
2016,3,2,20,0,25.09
2016,3,2,21,0,24.76
2016,3,2,22,0,24.47
2016,3,2,23,0,24.19
2016,3,3,0,0,23.79
2016,3,3,1,0,23.35
2016,3,3,2,0,22.9
2016,3,3,3,0,22.47
2016,3,3,4,0,21.76
2016,3,3,5,0,21.12
2016,3,3,6,17.83,20.96
2016,3,3,7,123.23,22.9
2016,3,3,8,291.47,25.74
2016,3,3,9,445.88,29.98
2016,3,3,10,626.98,31.97
2016,3,3,11,615.71,33.05
2016,3,3,12,504.69,33.63
2016,3,3,13,515.3,33.82
2016,3,3,14,361.55,33.63
2016,3,3,15,240.25,32.98
2016,3,3,16,129.22,31.59
2016,3,3,17,33.89,28.15
2016,3,3,18,0,26.72
2016,3,3,19,0,26.08
2016,3,3,20,0,25.35
2016,3,3,21,0,24.62
2016,3,3,22,0,24.2
2016,3,3,23,0,23.6
2016,3,4,0,0,22.82
2016,3,4,1,0,22.01
2016,3,4,2,0,21.07
2016,3,4,3,0,20.15
2016,3,4,4,0,19.35
2016,3,4,5,0,18.58
2016,3,4,6,17.45,18.38
2016,3,4,7,111.46,20.28
2016,3,4,8,282.91,22.83
2016,3,4,9,431.41,26.85
2016,3,4,10,595.17,30.94
2016,3,4,11,606.98,32.94
2016,3,4,12,582.3,33.8
2016,3,4,13,525.12,34.12
2016,3,4,14,432.01,33.9
2016,3,4,15,309.63,33.11
2016,3,4,16,157.12,31.62
2016,3,4,17,36.24,29.02
2016,3,4,18,0,27.76
2016,3,4,19,0,26.74
2016,3,4,20,0,25.58
2016,3,4,21,0,24.4
2016,3,4,22,0,23.43
2016,3,4,23,0,22.58
2016,3,5,0,0,21.78
2016,3,5,1,0,20.99
2016,3,5,2,0,20.24
2016,3,5,3,0,19.55
2016,3,5,4,0,19.04
2016,3,5,5,0,18.61
2016,3,5,6,17.77,19.01
2016,3,5,7,112.92,22.53
2016,3,5,8,270.8,25.68
2016,3,5,9,445.95,29.33
2016,3,5,10,601.65,31.98
2016,3,5,11,569.67,33.33
2016,3,5,12,560.95,33.87
2016,3,5,13,549.45,34.09
2016,3,5,14,454.33,33.91
2016,3,5,15,338.27,33.18
2016,3,5,16,173.22,31.76
2016,3,5,17,37.91,28.44
2016,3,5,18,0,26.7
2016,3,5,19,0,25.47
2016,3,5,20,0,24.23
2016,3,5,21,0,23.23
2016,3,5,22,0,22.51
2016,3,5,23,0,21.9
2016,3,6,0,0,21.4
2016,3,6,1,0,21.25
2016,3,6,2,0,21.1
2016,3,6,3,0,20.78
2016,3,6,4,0,20.34
2016,3,6,5,0,19.86
2016,3,6,6,20.48,20.2
2016,3,6,7,144.41,23.9
2016,3,6,8,325.45,26.77
2016,3,6,9,508.38,30.23
2016,3,6,10,680.24,33.01
2016,3,6,11,696.41,34.42
2016,3,6,12,678.96,35.31
2016,3,6,13,637.66,35.73
2016,3,6,14,509.12,35.68
2016,3,6,15,339.45,34.92
2016,3,6,16,178.9,33.4
2016,3,6,17,31.37,29.8
2016,3,6,18,0,28.64
2016,3,6,19,0,27.98
2016,3,6,20,0,27.08
2016,3,6,21,0,26.33
2016,3,6,22,0,25.69
2016,3,6,23,0,24.81
2016,3,7,0,0,23.92
2016,3,7,1,0,23.33
2016,3,7,2,0,22.59
2016,3,7,3,0,22.62
2016,3,7,4,0,22.12
2016,3,7,5,0,21.08
2016,3,7,6,22.14,20.3
2016,3,7,7,158.88,22.02
2016,3,7,8,353.51,24.58
2016,3,7,9,513.01,29.27
2016,3,7,10,639.56,31.83
2016,3,7,11,686.95,33.06
2016,3,7,12,731.83,33.8
2016,3,7,13,664.62,34.07
2016,3,7,14,571.71,33.9
2016,3,7,15,421.56,33.17
2016,3,7,16,227.89,31.73
2016,3,7,17,51.7,27.59
2016,3,7,18,0,25.27
2016,3,7,19,0,24.33
2016,3,7,20,0,23.55
2016,3,7,21,0,23.09
2016,3,7,22,0,23.33
2016,3,7,23,0,23.38
2016,3,8,0,0,22.53
2016,3,8,1,0,22.12
2016,3,8,2,0,21.89
2016,3,8,3,0,21.33
2016,3,8,4,0,20.57
2016,3,8,5,0,19.85
2016,3,8,6,24.5,20.3
2016,3,8,7,140.95,22.76
2016,3,8,8,324.66,25.93
2016,3,8,9,503.43,30.33
2016,3,8,10,615.34,33.01
2016,3,8,11,705.54,34.31
2016,3,8,12,729.57,34.98
2016,3,8,13,693.79,35.01
2016,3,8,14,589.27,34.88
2016,3,8,15,430.46,34.12
2016,3,8,16,233.53,32.64
2016,3,8,17,54.88,28.88
2016,3,8,18,0,26.36
2016,3,8,19,0,25.58
2016,3,8,20,0,25.01
2016,3,8,21,0,24.59
2016,3,8,22,0,24.35
2016,3,8,23,0,23.9
2016,3,9,0,0,23.29
2016,3,9,1,0,22.5
2016,3,9,2,0,21.77
2016,3,9,3,0,21.17
2016,3,9,4,0,20.61
2016,3,9,5,0,20.09
2016,3,9,6,26.48,20.76
2016,3,9,7,188.22,23.42
2016,3,9,8,394.36,27.11
2016,3,9,9,584.38,31.01
2016,3,9,10,747.46,33.23
2016,3,9,11,799.49,34.5
2016,3,9,12,810.77,35.27
2016,3,9,13,712.28,35.59
2016,3,9,14,620.94,35.41
2016,3,9,15,440.09,34.79
2016,3,9,16,241.98,33.39
2016,3,9,17,56.36,29.65
2016,3,9,18,0,27.35
2016,3,9,19,0,26.65
2016,3,9,20,0,26.08
2016,3,9,21,0,25.81
2016,3,9,22,0,25.31
2016,3,9,23,0,25.25
2016,3,10,0,0,25.05
2016,3,10,1,0,24.64
2016,3,10,2,0,23.73
2016,3,10,3,0,23.14
2016,3,10,4,0,22.5
2016,3,10,5,0,21.75
2016,3,10,6,29.52,22.01
2016,3,10,7,194.46,24.36
2016,3,10,8,406.06,27.76
2016,3,10,9,585.31,31.85
2016,3,10,10,732.26,33.75
2016,3,10,11,771.75,34.94
2016,3,10,12,796.28,35.61
2016,3,10,13,741.27,35.95
2016,3,10,14,614.05,35.68
2016,3,10,15,447.8,34.82
2016,3,10,16,249.07,33.32
2016,3,10,17,55.28,29.48
2016,3,10,18,0,27.12
2016,3,10,19,0,26.25
2016,3,10,20,0,25.48
2016,3,10,21,0,24.78
2016,3,10,22,0,24.16
2016,3,10,23,0,23.76
2016,3,11,0,0,23.88
2016,3,11,1,0,23.66
2016,3,11,2,0,23.32
2016,3,11,3,0,23.04
2016,3,11,4,0,22.64
2016,3,11,5,0,22.14
2016,3,11,6,30.14,22.31
2016,3,11,7,208.16,24.73
2016,3,11,8,428.19,28.14
2016,3,11,9,624.94,32.58
2016,3,11,10,786.65,34.23
2016,3,11,11,817.31,35.21
2016,3,11,12,838.56,35.87
2016,3,11,13,784.89,36.14
2016,3,11,14,646.59,36.03
2016,3,11,15,462.64,35.3
2016,3,11,16,245.16,33.85
2016,3,11,17,56.53,29.68
2016,3,11,18,0,27.13
2016,3,11,19,0,26.35
2016,3,11,20,0,25.7
2016,3,11,21,0,25.15
2016,3,11,22,0,24.74
2016,3,11,23,0,24.35
2016,3,12,0,0,24.05
2016,3,12,1,0,23.74
2016,3,12,2,0,23.4
2016,3,12,3,0,22.98
2016,3,12,4,0,22.55
2016,3,12,5,0,21.9
2016,3,12,6,30.48,21.81
2016,3,12,7,199.81,23.8
2016,3,12,8,403.51,26.12
2016,3,12,9,597.8,29.15
2016,3,12,10,684.21,32.89
2016,3,12,11,693.58,34.92
2016,3,12,12,699.38,35.63
2016,3,12,13,668.8,35.56
2016,3,12,14,603.7,35.27
2016,3,12,15,434.74,34.26
2016,3,12,16,249.09,32
2016,3,12,17,57.38,29.49
2016,3,12,18,0,27.95
2016,3,12,19,0,27.17
2016,3,12,20,0,26.18
2016,3,12,21,0,25.08
2016,3,12,22,0,24.03
2016,3,12,23,0,23
2016,3,13,0,0,22.05
2016,3,13,1,0,21.31
2016,3,13,2,0,20.8
2016,3,13,3,0,20.2
2016,3,13,4,0,19.76
2016,3,13,5,0,19.86
2016,3,13,6,30.54,20.65
2016,3,13,7,152.28,22.89
2016,3,13,8,311.73,26.08
2016,3,13,9,277.28,29.3
2016,3,13,10,387.18,32.29
2016,3,13,11,523.41,35.09
2016,3,13,12,581.22,36.59
2016,3,13,13,457.06,37.21
2016,3,13,14,477.61,37.05
2016,3,13,15,321.12,35.87
2016,3,13,16,188.05,33.99
2016,3,13,17,44.2,30.28
2016,3,13,18,0,27.8
2016,3,13,19,0,26.87
2016,3,13,20,0,25.88
2016,3,13,21,0,24.84
2016,3,13,22,0,23.91
2016,3,13,23,0,23.15
2016,3,14,0,0,22.54
2016,3,14,1,0,22.19
2016,3,14,2,0,22.27
2016,3,14,3,0,21.85
2016,3,14,4,0,21.05
2016,3,14,5,0,20.58
2016,3,14,6,14.55,21.33
2016,3,14,7,151.3,24.58
2016,3,14,8,277.12,28.39
2016,3,14,9,427.74,32.2
